_id,song,orig,cover,in_album
5f12ecea0bad3a78ca438203,7,John Barry,Soft Cell,The Twelve Inch Singles
5f12eceb0bad3a78ca438204,39,Queen,Pretty Maids,Stripped
5f12eceb0bad3a78ca438205,40,U2,dc Talk,Jesus Freak
5f12eceb0bad3a78ca438206,40,U2,Starfield,In the Name of Love
5f12eceb0bad3a78ca438207,577,Motorpsycho,Plankton,Self Indulgent Mono-Minds (disc 2)
5f12eceb0bad3a78ca438208,1901,Phoenix,Birdy,Birdy
5f12eceb0bad3a78ca438209,1917,David Olney,Linda Ronstadt & Emmylou Harris,Western Wall: The Tucson Sessions
5f12eceb0bad3a78ca43820a,1959,The Sisters of Mercy,Dreadful Shadows,Monochrome - A Tribute To The Sisters Of Mercy
5f12eceb0bad3a78ca43820b,1963,New Order,Dark Distant Spaces,True Faith: A Tribute to New Order
5f12eceb0bad3a78ca43820c,1963,New Order,T.H.C.,Blue Order - New Order Trance Tribute
5f12eceb0bad3a78ca43820d,1969,Iggy Pop,The Sisters of Mercy,Some Girls Wander by Mistake
5f12eceb0bad3a78ca43820e,1969,The Stooges,Joey Ramone,"Don't Worry About Me"
5f12eceb0bad3a78ca43820f,1969,The Stooges,Solex,[non-album tracks]
5f12eceb0bad3a78ca438210,1969,The Stooges,The Sisters of Mercy,Some Girls Wander by Mistake
5f12eceb0bad3a78ca438211,1970,The Stooges,Hanoi Rocks,Kill City Blues
5f12eceb0bad3a78ca438212,1970,The Stooges,Mission of Burma,The Horrible Truth About Burma
5f12eceb0bad3a78ca438213,1970,The Stooges,Monster Magnet,Heads Explode
5f12eceb0bad3a78ca438214,1970,The Stooges,Superdrag,We Will Fall: The Iggy Pop Tribute
5f12eceb0bad3a78ca438215,1979,The Smashing Pumpkins,jacksoul,Mysoul
5f12eceb0bad3a78ca438216,1979,The Smashing Pumpkins,Pavement,[non-album tracks]
5f12eceb0bad3a78ca438217,1979,The Smashing Pumpkins,PIG,Gothic Industrial Tribute to the Smashing Pumpkins
5f12eceb0bad3a78ca438218,1979,The Smashing Pumpkins,Vitamin String Quartet,The String Quartet Tribute to Smashing Pumpkins
5f12eceb0bad3a78ca438219,1984,David Bowie,Tina Turner,Private Dancer
5f12eceb0bad3a78ca43821a,1984,Spirit,The Records,Shades in Bed
5f12eceb0bad3a78ca43821b,1985,SR-71,Bowling for Soup,"A Hangover You Don't Deserve"
5f12eceb0bad3a78ca43821c,1996,Marilyn Manson,Halestorm,ReAniMate 2.0: The CoVeRs eP
5f12eceb0bad3a78ca43821d,1999,Prince,Bob Belden,Blue Note Plays Prince
5f12eceb0bad3a78ca43821e,1999,Prince,Dump,That Skinny Motherfucker With the High Voice?
5f12eceb0bad3a78ca43821f,1999,Prince,Gary Numan,Machine & Soul
5f12eceb0bad3a78ca438220,1999,Prince,Limp Bizkit,Phat-Ass Rarities
5f12eceb0bad3a78ca438221,1999,Prince,Marilyn Manson,"1997-05-06: Utica Memorial Auditorium, Utica, NY, USA"
5f12eceb0bad3a78ca438222,1999,Prince,Shawn Mullins,The Andrew Denton Breakfast Show Musical Challenge
5f12eceb0bad3a78ca438223,1999,Prince,The Hippos,[non-album tracks]
5f12eceb0bad3a78ca438224,1999,Prince,The Mike Flowers Pops,A Groovy Place
5f12eceb0bad3a78ca438225,1999,Prince,The Red Dirt Rangers,"Ranger's Command"
5f12eceb0bad3a78ca438226,1999,Prince,Xorcist,Newer Wave 2.0
5f12eceb0bad3a78ca438227,2541,Grant Hart,Robert Forster,I Had a New York Girlfriend
5f12eceb0bad3a78ca438228,37623,Len Barry,The Jay Five,"A'one, A'two, A'three"
5f12eceb0bad3a78ca438229,38354,The Haunted,Lime Spiders,Headcleaner
5f12eceb0bad3a78ca43822a,43831,Brian Eno,Bang on a Can All-Stars,Music for Airports
5f12eceb0bad3a78ca43822b,44085,Nothung,Race War,The White Race Will Prevail
5f12eceb0bad3a78ca43822c,1000000,R.E.M.,Band of Susans,Surprise Your Pig: A Tribute to R. E. M.
5f12eceb0bad3a78ca43822d,#41,Dave Matthews Band,Howie Day,[non-album tracks]
5f12eceb0bad3a78ca43822e,#9 Dream,John Lennon,R.E.M.,Instant Karma: The Amnesty International Campaign to Save Darfur (disc 1)
5f12eceb0bad3a78ca43822f,(-) Ions,Tool,Vitamin String Quartet,"Tribute to Tool's Ænima"
5f12eceb0bad3a78ca438230,(After Sweet Memories) Play Born to Lose Again,Ronnie Milsap,Country Express,Relax With Country Express
5f12eceb0bad3a78ca438231,(After Sweet Memories) Play Born to Lose Again,Ronnie Milsap,Dottsy,"Classic Country, Vol. 4"
5f12eceb0bad3a78ca438232,"(Ain't Nothin' But a) House Party",The Show Stoppers,The J. Geils Band,Bloodshot
5f12eceb0bad3a78ca438233,(Are You) Happy,Reagan Youth,"Jughead's Revenge",Just Joined
5f12eceb0bad3a78ca438234,(Are You) Ready to Be Heartbroken,Lloyd Cole,Sandie Shaw,Nothing Less Than Brilliant - Greatest Hits 1964-95
5f12eceb0bad3a78ca438235,"(Don't Fear) The Reaper",Blue Öyster Cult,Elliott Smith,"2000-11-02: Southgate House, Newport, KY, USA"
5f12eceb0bad3a78ca438236,"(Don't Fear) The Reaper",Blue Öyster Cult,HIM,Greatest Lovesongs Vol. 666
5f12eceb0bad3a78ca438237,"(Don't Fear) The Reaper",Blue Öyster Cult,Pierce the Veil,Punk Goes Classic Rock
5f12eceb0bad3a78ca438238,"(Don't Fear) The Reaper",Blue Öyster Cult,The Alice Band,"(Don't Fear) The Reaper"
5f12eceb0bad3a78ca438239,"(Don't Fear) The Reaper",Blue Öyster Cult,The Bridewell Taxis,"Indie Top 20, Volume 12"
5f12eceb0bad3a78ca43823a,"(Don't Fear) The Reaper",Blue Öyster Cult,Wilco,"2004-10-31: Chicago, IL, USA (disc 2)"
5f12eceb0bad3a78ca43823b,"(Don't Go Back To) Rockville",R.E.M.,J Church,Surprise Your Pig: A Tribute to R. E. M.
5f12eceb0bad3a78ca43823c,"(Don't Need) Religion",Motörhead,Acheron,"Tribute to the Devil's Music"
5f12eceb0bad3a78ca43823d,(Down To) Seeds & Stems (Again),Commander Cody & His Lost Planet Airmen,Bill Kirchen,Seeds and Stems
5f12eceb0bad3a78ca43823e,(Everything I Do) I Do It for You,Bryan Adams,Acker Bilk,"Chillin' with Acker Bilk"
5f12eceb0bad3a78ca43823f,(Everything I Do) I Do It for You,Bryan Adams,Brandy,Never Say Never
5f12eceb0bad3a78ca438240,(Everything I Do) I Do It for You,Bryan Adams,New Found Glory,From the Screen to Your Stereo
5f12eceb0bad3a78ca438241,(Everything I Do) I Do It for You,Bryan Adams,The Fatima Mansions,"Ruby Trax: The NME's Roaring Forty (disc 1)"
5f12eceb0bad3a78ca438242,(Get Your Kicks On) Route 66,Bobby Troup,Nat King Cole,Unforgettable Nat King Cole
5f12eceb0bad3a78ca438243,(Ghost) Riders in the Sky,Johnny Cash,Children of Bodom,Blooddrunk
5f12eceb0bad3a78ca438244,(Ghost) Riders in the Sky,Johnny Cash,Me First and the Gimme Gimmes,Love Their Country
5f12eceb0bad3a78ca438245,(Ghost) Riders in the Sky,Johnny Cash,The Folsom Prison Gang,Cash Only
5f12eceb0bad3a78ca438246,(Ghost) Riders in the Sky,Marty Robbins,Outlaws,Best of the Outlaws: Green Grass and High Tides
5f12eceb0bad3a78ca438247,(I Am a) Tree,Gem,Guided by Voices,Mag Earwhig!
5f12eceb0bad3a78ca438248,"(I Can't Get No) Satisfaction",The Rolling Stones,Britney Spears,Oops!...I Did It Again
5f12eceb0bad3a78ca438249,"(I Can't Get No) Satisfaction",The Rolling Stones,Cat Power,The Covers Record (Japanese Edition)
5f12eceb0bad3a78ca43824a,"(I Can't Get No) Satisfaction",The Rolling Stones,DEVO,Q: Are We Not Men? A: We Are Devo!
5f12eceb0bad3a78ca43824b,"(I Can't Get No) Satisfaction",The Rolling Stones,Guitar Wolf,Planet of the Wolves
5f12eceb0bad3a78ca43824c,"(I Can't Get No) Satisfaction",The Rolling Stones,Manfred Mann,Soul Of Mann
5f12eceb0bad3a78ca43824d,"(I Can't Get No) Satisfaction",The Rolling Stones,Samantha Fox,Greatest Hits
5f12eceb0bad3a78ca43824e,"(I Can't Get No) Satisfaction",The Rolling Stones,Tim Ries,The Rolling Stones Project
5f12eceb0bad3a78ca43824f,"(I Can't Help) Falling in Love With You",Elvis Presley,UB40,"The Best of UB40, Volume Two"
5f12eceb0bad3a78ca438250,(I Just) Died in Your Arms,Cutting Crew,Northern Kings,Reborn
5f12eceb0bad3a78ca438251,(I Just) Died in Your Arms,Cutting Crew,To/Die/For,Jaded
5f12eceb0bad3a78ca438252,"(I Know) I'm Losing You",The Temptations,Edwin McCain,"Nobody's Fault but Mine"
5f12eceb0bad3a78ca438253,"(I Know) I'm Losing You",The Temptations,Rare Earth,20th Century Masters: The Millennium Collection: The Best of Rare Earth
5f12eceb0bad3a78ca438254,"(I Know) I'm Losing You",The Temptations,Rod Stewart,Every Picture Tells a Story
5f12eceb0bad3a78ca438255,"(I Know) I'm Losing You",The Temptations,Uptown Girls,Ultimix: In the Beginning (disc 4)
5f12eceb0bad3a78ca438256,(I Love You) for Sentimental Reasons,Nat King Cole,Five Star,Heart & Soul
5f12eceb0bad3a78ca438257,(I Love You) for Sentimental Reasons,Nat King Cole,The Righteous Brothers,Phil Spector: Back to Mono 1958-1969 (disc 3)
5f12eceb0bad3a78ca438258,(I Was Born in a) Laundromat,Camper Van Beethoven,Divine Fits,My Love Is Real
5f12eceb0bad3a78ca438259,(I Was) Born to Cry,Dion,Johnny Thunders,Flesheaters: The Return of the Undead (disc 3)
5f12eceb0bad3a78ca43825a,"(If Loving You Is Wrong) I Don't Want to Be Right",Luther Ingram,Barbara Mandrell,Time Life: Number One Country Love Songs (disc 1)
5f12eceb0bad3a78ca43825b,(If Paradise Is) Half as Nice,Amen Corner,Aztec Camera,Covers & Rare
5f12eceb0bad3a78ca43825c,"(If You Can't Sing It) You'll Have to Swing It",Martha Raye,Chick Webb and His Orchestra,Stomping at the Savoy
5f12eceb0bad3a78ca43825d,"(If You're Not in It for Love) I'm Outta Here",Shania Twain,Real McCoy,One More Time
5f12eceb0bad3a78ca43825e,"(I'm a) Road Runner",Jr. Walker & The All Stars,Bill Cosby,Bill Cosby Sings Hooray for the Salvation Army Band!
5f12eceb0bad3a78ca43825f,"(I'm a) Road Runner",Jr. Walker & The All Stars,Fleetwood Mac,Penguin
5f12eceb0bad3a78ca438260,"(I'm a) Road Runner",Jr. Walker & The All Stars,Peter Frampton,The Collection
5f12eceb0bad3a78ca438261,"(I'm Afraid) The Masquerade Is Over",Larry Clinton & His Orchestra,Ruby & The Romantics,Our Day Will Come: The Very Best of Ruby & The Romantics
5f12eceb0bad3a78ca438262,"(I'm Always Touched by Your) Presence, Dear",Blondie,Tracey Ullman,The Best Of
5f12eceb0bad3a78ca438263,"(I'm Gonna) Burn Your Playhouse Down",George Jones,The Proclaimers,This Is The Story
5f12eceb0bad3a78ca438264,"(I'm Not Your) Steppin' Stone",Paul Revere and The Raiders,The Monkees,The Best of the Monkees
5f12eceb0bad3a78ca438265,"(I'm Not Your) Steppin' Stone",The Monkees,Per Gessle,Gessle Over Europe
5f12eceb0bad3a78ca438266,"(I'm Not Your) Stepping Stone",The Monkees,Sex Pistols,The Great Rock ’n’ Roll Swindle
5f12eceb0bad3a78ca438267,"(I'm) Misunderstood",The Saints,Nashville Pussy,Eat More Pussy
5f12eceb0bad3a78ca438268,"(I'm) Stranded",The Saints,The Nomads,"Showdown 2 - The 90's (disc 2)"
5f12eceb0bad3a78ca438269,"(It Looks Like) I'll Never Fall in Love Again",Tom Jones,Richard Marx,"Ballads (Then, Now and Forever)"
5f12eceb0bad3a78ca43826a,"(It's All Over Now) Baby Blue",Bob Dylan,David Gogo,Change of Pace
5f12eceb0bad3a78ca43826b,"(I've Got To) Stop Thinkin' 'Bout That",James Taylor,Edwin McCain,Misguided Roses
5f12eceb0bad3a78ca43826c,(Just Like) Starting Over,John Lennon,The Flaming Lips,Instant Karma: The Amnesty International Campaign to Save Darfur
5f12eceb0bad3a78ca43826d,(Keep Feeling) Fascination,The Human League,Baxendale,Reproductions: Songs of the Human League
5f12eceb0bad3a78ca43826e,(Let Me Be Your) Teddy Bear,Elvis Presley,Little Jimmy Osmond,Killer Joe
5f12eceb0bad3a78ca43826f,(Let Me Be Your) Teddy Bear,Elvis Presley,Tanya Tucker,"It's Now or Never: The Tribute to Elvis"
5f12eceb0bad3a78ca438270,(let me be your) teddy bear,Elvis Presley,ZZ Top,XXX
5f12eceb0bad3a78ca438271,"(Let's Have a) Party",Elvis Presley,Robert Plant,The Last Temptation of Elvis (disc 1)
5f12eceb0bad3a78ca438272,(Life Is a Rock) But the Radio Rolled Me,Reunion,Tracey Ullman,The Best of Tracey Ullman
5f12eceb0bad3a78ca438273,(Looking For) The Heart Of Saturday Night,Tom Waits,Holly Cole,Temptation
5f12eceb0bad3a78ca438274,(Looking for) The Heart of Saturday Night,Tom Waits,Jerry Jeff Walker,"It's a Good Night for Singin'"
5f12eceb0bad3a78ca438275,(Looking for) The Heart of Saturday Night,Tom Waits,Madeleine Peyroux,Half the Perfect World
5f12eceb0bad3a78ca438276,(Looking for) The Heart of Saturday Night,Tom Waits,Shawn Colvin,Cover Girl
5f12eceb0bad3a78ca438277,(Love Is Like a) Heat Wave,Martha and The Vandellas,The Supremes,Star Collection
5f12eceb0bad3a78ca438278,(Love Is Like a) Heat Wave,Martha and The Vandellas,The Who,A Quick One
5f12eceb0bad3a78ca438279,"(Maria's the Name) His Latest Flame",Del Shannon,El Vez,El Vez Is Alive
5f12eceb0bad3a78ca43827a,"(Marie's the Name) His Latest Flame",Del Shannon,Elvis Presley,The Greatest
5f12eceb0bad3a78ca43827b,"(Marie's the Name) His Latest Flame",Del Shannon,The Smiths,Asleep
5f12eceb0bad3a78ca43827c,(Na Na Hey Hey) Kiss Him Goodbye,Steam,The Nylons,Contact! The All-Star Collection
5f12eceb0bad3a78ca43827d,(Night Time Is) The Right Time,Ray Charles,Etta James,Nighthawk (disc 1)
5f12eceb0bad3a78ca43827e,"(No More) Dancin' In the Street",John Hiatt,Maria Muldaur,Open Your Eyes
5f12eceb0bad3a78ca43827f,(Nothing but) Flowers,Talking Heads,Caetano Veloso,A Foreign Sound
5f12eceb0bad3a78ca438280,(Nothing But) Flowers,Talking Heads,Guster,Guster On Ice
5f12eceb0bad3a78ca438281,"(Now and Then There's) A Fool Such as I",Elvis Presley,Batmobile,God Save the King: A Psychobilly Tribute to Elvis
5f12eceb0bad3a78ca438282,"(Now and Then, There's) A Fool Such as I",Hank Snow,Bill Haley & His Comets,The Decca Years and More
5f12eceb0bad3a78ca438283,"(Pretty Boy) What's Your Name?",Depeche Mode,Pansy Division,"More Lovin' From Our Oven"
5f12eceb0bad3a78ca438284,(Putting My) Heart On The Line,Peter Frampton,Elkie Brooks,Shooting Star
5f12eceb0bad3a78ca438285,(Remember the Days of the) Old Schoolyard,Cat Stevens,Linda Lewis,Not a Little Girl Anymore
5f12eceb0bad3a78ca438286,(See the Sky) About to Rain,Neil Young,The Byrds,Byrds
5f12eceb0bad3a78ca438287,(Sexual) Healing,Marvin Gaye,Hot 8 Brass Band,Tru Thoughts Covers
5f12eceb0bad3a78ca438288,"(Sittin' On) The Dock of the Bay",Otis Redding,Cher,3614 Jackson Highway
5f12eceb0bad3a78ca438289,"(Sittin' on) The Dock of the Bay",Otis Redding,"Da Vinci's Notebook","Bendy's Law"
5f12eceb0bad3a78ca43828a,"(Sittin' On) The Dock of the Bay",Otis Redding,Glen Campbell,Wichita Lineman
5f12eceb0bad3a78ca43828b,"(Sittin' on) The Dock of the Bay",Otis Redding,Joe Simon,"The Chokin' Kind"
5f12eceb0bad3a78ca43828c,"(Sittin' on) The Dock of the Bay",Otis Redding,Michael Bolton,The Hunger
5f12eceb0bad3a78ca43828d,"(Sittin' On) The Dock of the Bay",Otis Redding,Rockapella,Lucky Seven
5f12eceb0bad3a78ca43828e,"(Sittin' On) The Dock of the Bay",Otis Redding,Sammy Hagar,The Best of Sammy Hagar
5f12eceb0bad3a78ca43828f,"(Sittin' On) The Dock of the Bay",Otis Redding,Sara Bareilles,Between the Lines: Sara Bareilles Live at the Fillmore
5f12eceb0bad3a78ca438290,"(Sittin' on) The Dock of the Bay",Otis Redding,Van Halen,Looney Tunes Merrie Melodies: The Unreleased (disc 4)
5f12eceb0bad3a78ca438291,"(Sittin' on) The Dock of the Bay",Otis Redding,Waylon Jennings & Willie Nelson,WW II
5f12eceb0bad3a78ca438292,(Sittin’ on) The Dock of the Bay,Otis Redding,Al Jarreau,All Fly Home
5f12eceb0bad3a78ca438293,(Something Inside) So Strong,Labi Siffre,Michael Ball,First Love
5f12eceb0bad3a78ca438294,"(Sweet, Sweet, Baby) Since You've Been Gone",Aretha Franklin,"Booker T. & The MG's",Soul Limbo
5f12eceb0bad3a78ca438295,(The Angels Wanna Wear My) Red Shoes,Elvis Costello,Hem,"I'm Talking With My Mouth"
5f12eceb0bad3a78ca438296,(Theme From) The Monkees,The Monkees,They Might Be Giants,"2003-04-28: Great American Music Hall, San Francisco, CA, USA (disc 2)"
5f12eceb0bad3a78ca438297,"(There'll Be Bluebirds Over) The White Cliffs of Dover",Vera Lynn,Kate Smith,Your Hit Parade: 1942
5f12eceb0bad3a78ca438298,"(There'll Be Bluebirds Over) The White Cliffs of Dover",Vera Lynn,The Glenn Miller Orchestra,"Always: The Songs We'll Never Forget (disc 2)"
5f12eceb0bad3a78ca438299,"(There'll Be) Peace in the Valley (For Me)",Red Foley,Elvis Presley,"Elvis' Christmas Album"
5f12eceb0bad3a78ca43829a,"(There's Gonna Be) A Showdown",Archie Bell & The Drells,New York Dolls,Too Much Too Soon
5f12eceb0bad3a78ca43829b,"(There's) Always Something There to Remind Me",Lou Johnson,Burt Bacharach,Hit Maker! Burt Bacharach Plays His Hits
5f12eceb0bad3a78ca43829c,(They long to Be) Close to You,Burt Bacharach,Gwen Guthrie,Good to Go Lover
5f12eceb0bad3a78ca43829d,(They Long to Be) Close to You,Carpenters,Dusty Springfield,Something Special
5f12eceb0bad3a78ca43829e,(They Long to Be) Close to You,Carpenters,The Cranberries,If I Were a Carpenter
5f12eceb0bad3a78ca43829f,(They Long to Be) Close to You,Dionne Warwick,Carpenters,Carpenters Gold
5f12eceb0bad3a78ca4382a0,(They Long to Be) Close to You,Dionne Warwick,Tamia,More
5f12eceb0bad3a78ca4382a1,(This Is Not a) Love Song,Public Image Ltd.,Nouvelle Vague,Versions
5f12eceb0bad3a78ca4382a2,(Uh-Oh) Get Out of the Car,The Treniers,Richard Berry,Yama Yama! The Modern Recordings 1954-1956
5f12eceb0bad3a78ca4382a3,"(Waiting For) A Love That's Real",Stryper,Joe Christmas,Sweet Family Music: A Tribute to Stryper
5f12eceb0bad3a78ca4382a4,(We Are) The Road Crew,Motörhead,Destruction,Inventor of Evil
5f12eceb0bad3a78ca4382a5,"(We Don't Need This) Fascist Groove Thang",Heaven 17,Poster Children,On the Offensive
5f12eceb0bad3a78ca4382a6,(We Will Not) Remember You,Anti-Nowhere League,Antiseen,Hell
5f12eceb0bad3a78ca4382a7,(What A) Wonderful World,Louis Armstrong,The Flaming Lips,The Day They Shot a Hole in the Jesus Egg (disc 1)
5f12eceb0bad3a78ca4382a8,(What a) Wonderful World,Sam Cooke,David Bromberg,The Best of David Bromberg
5f12eceb0bad3a78ca4382a9,(What A) Wonderful World,Sam Cooke,"Herman's Hermits",Their Greatest Hits
5f12eceb0bad3a78ca4382aa,"(What's So Funny About) Peace Love & Understanding",Brinsley Schwarz,Midnight Oil,Oil From the Outback
5f12eceb0bad3a78ca4382ab,"(What's So Funny About) Peace Love & Understanding",Brinsley Schwarz,Quasi,Quasi interprets 2013
5f12eceb0bad3a78ca4382ac,"(What's So Funny 'Bout) Peace, Love & Understanding",Brinsley Schwarz,Curtis Stigers,Greatest Ever Movie Hits (disc 1)
5f12eceb0bad3a78ca4382ad,"(What's So Funny 'Bout) Peace, Love & Understanding",Brinsley Schwarz,Die Toten Hosen,15 Geburtstags-Lieder
5f12eceb0bad3a78ca4382ae,"(What's So Funny 'Bout) Peace, Love & Understanding",Brinsley Schwarz,Joe Louis Walker,Labour of Love: The Music of Nick Lowe
5f12eceb0bad3a78ca4382af,"(What's So Funny 'Bout) Peace, Love & Understanding",Brinsley Schwarz,"Keb' Mo'",Peace... Back by Popular Demand
5f12eceb0bad3a78ca4382b0,"(What's So Funny 'Bout) Peace, Love and Understanding",Brinsley Schwarz,Elvis Costello,200 Cigarettes
5f12eceb0bad3a78ca4382b1,"(What's So Funny 'Bout) Peace, Love and Understanding",Elvis Costello,Midnight Oil,Beds Are Burning
5f12eceb0bad3a78ca4382b2,(White Man) In Hammersmith Palais,The Clash,Fighting Gravity,Hello Cleveland
5f12eceb0bad3a78ca4382b3,"(You Don't Know) How Glad I Am",Nancy Wilson,Aretha Franklin,Just a Matter of Time: Classic Columbia Recordings - 1961-1965
5f12eceb0bad3a78ca4382b4,"(You Don't Know) How Glad I Am",Nancy Wilson,Kiki Dee,Loving and Free
5f12eceb0bad3a78ca4382b5,(You Drive Me) Crazy,Britney Spears,SugarComa,(You Drive Me) Crazy
5f12eceb0bad3a78ca4382b6,(You Gotta) Fight for Your Right (to Party),Beastie Boys,The HotRats,Turn Ons
5f12eceb0bad3a78ca4382b7,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Anita Kerr Singers,All You Need Is Love
5f12eceb0bad3a78ca4382b8,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,"Aretha Franklin, Gloria Estefan, Bonnie Raitt",Utopia - Heart (disc 1)
5f12eceb0bad3a78ca4382b9,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Bonnie Tyler,"It's a Heartache"
5f12eceb0bad3a78ca4382ba,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Carole King,Tapestry
5f12eceb0bad3a78ca4382bb,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Carolyn Arends,"We've Been Waiting for You"
5f12eceb0bad3a78ca4382bc,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Céline Dion,Tapestry Revisited: A Tribute to Carole King
5f12eceb0bad3a78ca4382bd,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Geir Wentzel Band,97% Soul (disc 1)
5f12eceb0bad3a78ca4382be,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Giorgia,Natural Woman
5f12eceb0bad3a78ca4382bf,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Helen Schneider,Like a Woman
5f12eceb0bad3a78ca4382c0,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Irene Grandi,Irene Grandi
5f12eceb0bad3a78ca4382c1,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Jane McDonald,Jane McDonald
5f12eceb0bad3a78ca4382c2,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Keiko Lee,Jazz - You Night & Day (disc 2: night)
5f12eceb0bad3a78ca4382c3,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Kelly Clarkson,American Idol: Greatest Moments
5f12eceb0bad3a78ca4382c4,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Laura Canoura,Esencia
5f12eceb0bad3a78ca4382c5,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Laura Nyro & LaBelle,Gonna Take a Miracle
5f12eceb0bad3a78ca4382c6,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Lisa Bund,Power of Love
5f12eceb0bad3a78ca4382c7,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Marcia Hines,Life
5f12eceb0bad3a78ca4382c8,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Peggy Lee,Connoisseur Songbook Series: Goffin & King
5f12eceb0bad3a78ca4382c9,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Samantha Jones,Sam Leads the Way: The Penny Farthing Recordings
5f12eceb0bad3a78ca4382ca,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Shirley Scott and The Soul Saxes,Shirley Scott & The Soul Saxes
5f12eceb0bad3a78ca4382cb,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,"Siri's Svale Band",Necessarily So...
5f12eceb0bad3a78ca4382cc,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,The Jazztown Trio,"Sax & Seduction, Volume 2"
5f12eceb0bad3a78ca4382cd,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Willy Crook & Funky Torinos,Versiones
5f12eceb0bad3a78ca4382ce,(You Must Fight to Live) On the Planet of the Apes,The Mummies,You Am I,"Good Mornin'"
5f12eceb0bad3a78ca4382cf,"(You'll Never Get to Heaven) If You Break My Heart",Dionne Warwick,Cal Tjader,Cal Tjader Sounds Out Burt Bacharach
5f12eceb0bad3a78ca4382d0,"(You'll Never Get to Heaven) If You Break My Heart",Dionne Warwick,The Stylistics,Cuts
5f12eceb0bad3a78ca4382d1,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,Jimmy Barnes,Soul Deep
5f12eceb0bad3a78ca4382d2,(Your Love Keeps Lifting Me) Higher and Higher,Jackie Wilson,The Move,Movements: 30th Anniversary Anthology (disc 1)
5f12eceb0bad3a78ca4382d3,"(You're My) Soul and Inspiration",The Righteous Brothers,Donny & Marie Osmond,The Collection
5f12eceb0bad3a78ca4382d4,"(You're So Square) Baby, I Don't Care",Elvis Presley,Buddy Holly,The Buddy Holly Collection (disc 1)
5f12eceb0bad3a78ca4382d5,"(You're So Square) Baby, I Don't Care",Elvis Presley,Joni Mitchell,Wild Things Run Fast
5f12eceb0bad3a78ca4382d6,"(You're the) Devil in Disguise",Elvis Presley,Trisha Yearwood,Honeymoon in Vegas
5f12eceb0bad3a78ca4382d7,...And Justice For All,Metallica,Grope,The Blackest Album: An Industrial Tribute to Metallica
5f12eceb0bad3a78ca4382d8,...and Justice for All,Metallica,Vitamin String Quartet,"Say Your Prayers, Little One: The String Quartet Tribute to Metallica"
5f12eceb0bad3a78ca4382d9,...Baby One More Time,Britney Spears,Ahmet & Dweezil Zappa,Ready to Rumble
5f12eceb0bad3a78ca4382da,...Baby One More Time,Britney Spears,August Burns Red,Punk Goes Pop 2
5f12eceb0bad3a78ca4382db,...Baby One More Time,Britney Spears,Bowling for Soup,Bowling for Soup Goes to the Movies
5f12eceb0bad3a78ca4382dc,...Baby One More Time,Britney Spears,Fountains of Wayne,Out-of-State Plates
5f12eceb0bad3a78ca4382dd,...Baby One More Time,Britney Spears,NICOTINE,Punk Goes Pop
5f12eceb0bad3a78ca4382de,...Baby One More Time,Britney Spears,Second Floor Daycare,"Punk Chartbusters, Volume 4 (disc 1)"
5f12eceb0bad3a78ca4382df,...Baby One More Time,Britney Spears,Travis,Turn
5f12eceb0bad3a78ca4382e0,0-0 (Where Evil Dwells),Wiseblood,Fear Factory,Obsolete
5f12eceb0bad3a78ca4382e1,007 (Shanty Town),Desmond Dekker,Musical Youth,Different Style!
5f12eceb0bad3a78ca4382e2,1 of the 2,The Damned,The Purdins,Another Damned Seattle Compilation
5f12eceb0bad3a78ca4382e3,10:15 Saturday Night,The Cure,Candy Machine,Give Me The Cure
5f12eceb0bad3a78ca4382e4,10:15 Saturday Night,The Cure,The Living End,"It's for Your Own Good"
5f12eceb0bad3a78ca4382e5,100 Years,The Cure,Nosferatu,100 Tears: A Tribute to the Cure
5f12eceb0bad3a78ca4382e6,"100,000 Fireflies",The Magnetic Fields,Superchunk,Incidental Music 1991-1995
5f12eceb0bad3a78ca4382e7,1000 Days in Sodom,Venom,Sodom,In the Name of Satan
5f12eceb0bad3a78ca4382e8,1000 Miles,Vanessa Carlton,Moneta,"Rockin' Romance"
